path 2 fam0 9 fam-found 1 # 14DICHLORBENZDEG-PWY
   DIENELACHYDRO-RXN hits 10.0 # DIENELACHYDRO-RXN
path 3 fam0 9 fam-found 8 # 1CMET2-PWY
   METHYLENETHFDEHYDROG-NADP-RXN hits 30.5 # METHYLENETHFDEHYDROG-NADP-RXN
   5-FORMYL-THF-CYCLO-LIGASE-RXN hits 37.0 # 5-FORMYL-THF-CYCLO-LIGASE-RXN
   METHENYLTHFCYCLOHYDRO-RXN hits 30.5 # METHENYLTHFCYCLOHYDRO-RXN
   THYMIDYLATESYN-RXN hits 27.0 # THYMIDYLATESYN-RXN
   1.5.1.20-RXN hits 35.5 # 1.5.1.20-RXN
   HOMOCYSMETB12-RXN hits 24.5 # HOMOCYSMETB12-RXN
   GLYOHMETRANS-RXN hits 35.5 # GLYOHMETRANS-RXN
   DIHYDROFOLATEREDUCT-RXN hits 30.0 # DIHYDROFOLATEREDUCT-RXN
path 4 fam0 8 fam-found 4 # 3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
   RXN-8505 hits 13.0 # RXN-8505
   CHMS-DEHYDROGENASE-RXN hits 6.5 # CHMS-DEHYDROGENASE-RXN
   4.1.1.68-RXN hits 6.5 # 4.1.1.68-RXN
   SUCCSEMIALDDEHYDROG-RXN hits 11.5 # SUCCSEMIALDDEHYDROG-RXN
path 7 fam0 49 fam-found 32 # ALL-CHORISMATE-PWY
   IPPISOM-RXN hits 12.5 # IPPISOM-RXN
   GPPSYN-RXN hits 35.5 # GPPSYN-RXN
   FPPSYN-RXN hits 35.5 # FPPSYN-RXN
   RXN-8992 hits 19.5 # RXN-8992
   4OHBENZOATE-OCTAPRENYLTRANSFER-RXN hits 11.5 # 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
   3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN hits 11.5 # 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
   2-OCTAPRENYL-6-OHPHENOL-METHY-RXN hits 11.5 # 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
   2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN hits 27.5 # 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
   DHHB-METHYLTRANSFER-RXN hits 11.5 # DHHB-METHYLTRANSFER-RXN
   RXN-15889 hits 22.5 # RXN-15889
   ENTDB-RXN hits 22.5 # ENTDB-RXN
   DAHPSYN-RXN hits 35.0 # DAHPSYN-RXN
   3-DEHYDROQUINATE-SYNTHASE-RXN hits 30.5 # 3-DEHYDROQUINATE-SYNTHASE-RXN
   3-DEHYDROQUINATE-DEHYDRATASE-RXN hits 30.5 # 3-DEHYDROQUINATE-DEHYDRATASE-RXN
   SHIKIMATE-5-DEHYDROGENASE-RXN hits 25.5 # SHIKIMATE-5-DEHYDROGENASE-RXN
   SHIKIMATE-KINASE-RXN hits 45.5 # SHIKIMATE-KINASE-RXN
   2.5.1.19-RXN hits 30.5 # 2.5.1.19-RXN
   CHORISMATE-SYNTHASE-RXN hits 37.0 # CHORISMATE-SYNTHASE-RXN
   ANTHRANSYN-RXN hits 91.5 # ANTHRANSYN-RXN
   PRTRANS-RXN hits 30.5 # PRTRANS-RXN
   PRAISOM-RXN hits 49.5 # PRAISOM-RXN
   IGPSYN-RXN hits 30.5 # IGPSYN-RXN
   CHORISMATEMUT-RXN hits 43.5 # CHORISMATEMUT-RXN
   PREPHENATEDEHYDRAT-RXN hits 30.5 # PREPHENATEDEHYDRAT-RXN
   PABASYN-RXN hits 19.0 # PABASYN-RXN
   ISOCHORSYN-RXN hits 8.0 # ISOCHORSYN-RXN
   2.5.1.64-RXN hits 8.0 # 2.5.1.64-RXN
   O-SUCCINYLBENZOATE-COA-SYN-RXN hits 14.5 # O-SUCCINYLBENZOATE-COA-SYN-RXN
   O-SUCCINYLBENZOATE-COA-LIG-RXN hits 8.0 # O-SUCCINYLBENZOATE-COA-LIG-RXN
   NAPHTHOATE-SYN-RXN hits 8.0 # NAPHTHOATE-SYN-RXN
   DMK-RXN hits 8.0 # DMK-RXN
   ADOMET-DMK-METHYLTRANSFER-RXN hits 27.5 # ADOMET-DMK-METHYLTRANSFER-RXN
